,year,mean_trophic_level,MTL,MTL2,TC
1,1950,3.67,3.166050037,3.123585264,44987.00928
2,1951,3.69,3.153852576,3.108258874,68116.3915
3,1952,3.73,3.14995485,3.103606098,89211.24395
4,1953,3.72,3.145337703,3.099025371,94260.16991
5,1954,3.68,3.126628834,3.179972141,116762.929
6,1955,3.72,3.135955173,3.085970961,136393.4975
7,1956,3.67,3.121604692,3.069278222,173793.9047
8,1957,3.72,3.124207421,3.072397504,177362.9998
9,1958,3.66,3.106264351,3.050694581,198477.2372
10,1959,3.69,3.108938434,3.054251594,223671.3444
11,1960,3.71,3.107697803,3.05758346,246220.7163
12,1961,3.68,3.098538512,3.046054325,272501.8326
13,1962,3.65,3.094135549,3.040495957,302329.4191
14,1963,3.68,3.083645653,3.030053641,330208.1219
15,1964,3.62,3.07697022,3.021788441,350848.147
16,1965,3.65,3.086500482,3.032951894,383955.1266
17,1966,3.66,3.087131583,3.03304975,405022.7925
18,1967,3.65,3.079504057,3.034863611,423867.3027
19,1968,3.65,3.08172266,3.029428621,465144.6682
20,1969,3.64,3.050312443,3.023631163,478762.4667
21,1970,3.61,3.082102628,3.023913792,444582.4022
22,1971,3.63,3.074345575,3.013163147,514953.0242
23,1972,3.63,3.095348131,3.022057279,617249.418
24,1973,3.67,3.079585088,3.009308143,690016.2855
25,1974,3.66,3.050406563,2.980444762,816995.1535
26,1975,3.56,3.008318891,2.941689676,849943.8901
27,1976,3.49,2.992753202,2.916845298,951552.6437
28,1977,3.44,2.989397652,2.922128881,930186.4975
29,1978,3.49,3.043661437,2.980241567,837515.1313
30,1979,3.63,3.052182743,2.938845328,730411.7742
31,1980,3.62,3.054252746,2.950031839,828469.5899
32,1981,3.63,3.091316045,2.970655432,852656.7338
33,1982,3.6,3.061917631,2.961371032,965750.004
34,1983,3.49,2.989157826,2.888443257,998966.9334
35,1984,3.49,2.94632317,2.905303158,1118333.087
36,1985,3.43,2.907325195,2.847132824,1442237.174
37,1986,3.35,2.888664724,2.831814158,1837871.41
38,1987,3.34,2.86124778,2.847603329,2182117.763
39,1988,3.31,2.853705663,2.820843928,2397947.341
40,1989,3.42,2.926436196,2.892943343,2972223.924
41,1990,3.44,2.95784887,2.90529263,3389710.681
42,1991,3.5,2.963190663,2.906033685,3916099.248
43,1992,3.46,2.949692309,2.891331149,4381690.046
44,1993,3.42,2.921514474,2.880044271,5069770.913
45,1994,3.43,2.940886193,2.891134896,5681309.961
46,1995,3.44,2.960135665,2.894565348,6883199.07
47,1996,3.5,2.970923051,2.913383317,7693244.988
48,1997,3.41,2.924820825,2.881470617,7301091.787
49,1998,3.45,2.940343372,2.888005313,7904124.012
50,1999,3.45,2.938024253,2.87516238,7676078.244
51,2000,3.44,2.945564708,2.889540566,7233242.452
52,2001,3.43,2.954037395,2.900559486,7215930.284
53,2002,3.44,2.951345081,2.897415368,7076834.682
54,2003,3.47,3.002297121,2.875524427,6890705.258
55,2004,3.47,3.016209414,2.856228042,6904149.38
56,2005,3.46,3.004729062,2.844646164,7026162.561
57,2006,3.47,3.041882088,2.869103747,7088471.806
58,2007,3.48,3.025488032,2.860835967,6881754.973
59,2008,3.5,3.053547445,2.878351089,6914352.765
60,2009,3.49,3.041984111,2.882170249,6866427.959
61,2010,3.5,3.042143672,2.882221052,7016828.561
62,2011,3.49,3.045650576,2.888539516,7119602.47
63,2012,3.49,3.02956665,2.882762111,6862201.022
64,2013,3.48,3.031920357,2.88964405,7159223.957
65,2014,3.54,3.056288248,2.918348786,9986901.174
