,year,C_all,V_all,C_larg_eez,V_large_eez,C_med_eez,V_med_eez,C_ceph_eez,V_ceph_eez,C_shri_eez,V_shri_eez,C_lob_eez,V_lob_eez,C_jell_eez,V_jell_eez,C_small_eez,V_small_eez,RC_larg,RV_larg,RC_med,RV_med,RC_ceph,RV_ceph,RC_shri,RV_shri,RC_lob,RV_lob,RC_jell,RV_jell,RC_small,RV_small,VpC_larg,VpC_med,VpC_ceph,VpC_shri,VpC_lob,VpC_jell
0,1950,43719.00925,75266323.83,14653.95795,13894467.38,10077.56782,9667671.558,5995.089157,6707157.692,9429.520231,37856829.57,0,0,3232.978365,6857147.113,108.0023394,277134.0027,0.335185042,0.184604039,0.23050769,0.128446177,0.137127745,0.089112333,0.215684673,0.502971683,0,0,0.073949031,0.091105115,0.002470375,0.003682045,948.1716423,959.3258738,1118.775304,4014.714285,,2121
1,1951,66264.39158,115044006.7,21704.4064,21540353.76,14456.57703,16047020.22,9476.407017,10253472.39,14075.90363,54666788,0,0,5148.074865,10919066.79,1156.876966,1745753.394,0.327542529,0.187235775,0.218165091,0.139485929,0.14300904,0.089126524,0.212420326,0.475181537,0,0,0.077689914,0.094912087,0.017458501,0.015174657,992.441505,1110.015199,1082,3883.714285,,2121
2,1952,86899.24388,122803167.5,28217.01733,27937625.32,18769.05745,16252620.66,11803.82391,10195890.85,18291.05829,60232454.95,112.8073122,387125.3551,7107.382651,5358966.519,2219.656349,2607600.998,0.324709584,0.227499224,0.21598643,0.132346917,0.135833448,0.083026285,0.210485816,0.490479652,0.001298139,0.003152405,0.081788774,0.043638667,0.025542873,0.021233988,990.0984569,865.9263102,863.7786303,3293,3431.739906,754
3,1953,91836.17004,144516836.2,29980.63697,33473385.72,20618.22571,21031127.49,10479.9865,9631107.598,19303.06129,70220719.63,102.4205271,323956.1274,7952.690239,6012233.821,3059.184263,4118819.95,0.326457832,0.231622741,0.22451095,0.145527179,0.11411611,0.066643499,0.210190182,0.485899924,0.001115253,0.00224165,0.086596493,0.041602307,0.033311322,0.028500624,1116.500152,1020.026057,919.0000001,3637.802241,3163.000001,756
4,1954,113866.9288,325799359,38429.82544,40975442.31,26066.54594,25790097.33,9096.247176,7640847.629,24575.35835,239216538.2,79.4063065,278001.479,10670.44975,7127860.43,4660.822741,5115665.22,0.33749769,0.125768947,0.228921129,0.079159448,0.079884891,0.023452617,0.215825249,0.734244964,0.000697361,0.00085329,0.093709823,0.021878068,0.04093219,0.015701889,1066.240657,989.3945053,840.0000001,9734.000001,3501,667.9999998
5,1955,133261.4975,380784400.4,43435.30674,43451252.33,28501.1169,28929083.33,14516.89705,11178509.12,27980.82392,287390351.6,67.57637293,246451.032,12791.68757,3978214.836,5759.904714,6411435.446,0.325940407,0.114109854,0.213873605,0.075972344,0.108935419,0.029356531,0.209969304,0.75473247,0.000507096,0.000647219,0.095989373,0.010447421,0.043222572,0.016837442,1000.367111,1015.015778,770.0343318,10270.97531,3646.999999,311.0000001
6,1956,170201.9047,483357182.1,52344.67296,53748878.31,34497.69079,29174329.69,20122.35984,15978634.89,34945.14712,366369733,0.191674375,791.8065168,16689.56239,7526992.637,10943.13251,11600032.11,0.307544578,0.111199089,0.202686867,0.060357704,0.118226408,0.033057613,0.205315841,0.757968941,1.13E-06,1.64E-06,0.098057436,0.01557232,0.064295006,0.023998882,1026.826137,845.6893497,794.0736088,10484.13766,4130.998297,451
7,1957,168523.4509,491733810.4,51404.61991,45838793.44,32749.32384,44364137.13,22307.74191,17691816.49,34877.39861,366582615.6,0.184850711,739.5874186,17405.59999,8285065.593,9640.026173,12560230.87,0.305029476,0.093218714,0.194330959,0.090219822,0.132371737,0.035978442,0.206958726,0.745489951,1.10E-06,1.50E-06,0.103282955,0.01684868,0.057202877,0.025542744,891.7251703,1354.65811,793.0796654,10510.60659,4000.998506,475.9999999
8,1958,182611.8214,540003553.4,53796.03391,17324535.48,36408.37181,51024152.54,22258.19767,23721982.25,37254.66799,416053930.1,66.23239704,275857.9336,19354.81088,16045138.22,13047.94447,18304642.4,0.294592286,0.032082262,0.199375767,0.094488551,0.121888044,0.043929308,0.204010166,0.770465181,0.000362695,0.000510845,0.105988817,0.029713024,0.071451806,0.033897263,322.0411286,1401.440108,1065.763841,11167.83352,4165,828.9999999
9,1959,200055.4042,638341176.8,58652.45966,61588587.26,35830.9367,56231947.49,28712.30901,28683596.7,40563.54474,463242672,63.83399732,291210.6958,21964.48815,11289746.91,14068.24594,20277460.43,0.293181081,0.096482241,0.179105067,0.088090741,0.143521786,0.044934586,0.202761554,0.725697618,0.000319082,0.000456199,0.109792026,0.01768607,0.070321749,0.031765866,1050.059752,1569.368615,999.0000001,11420.17235,4562.000001,514.0000002
