year,L_largehead,L_conger,L_amber,L_halibut,L_cod,M_largeyc,M_smallyc,M_filefish,M_pomfret,M_porgie,SM_flound,SM_flatfish,S_bream,S_sandeel,I_cucumb,I_mollus,I_shell,Ce_squid,Ce_cuttl,Sr_srshim,Sr_apshrim,Cr_gcrab,Cr_bcrab,J_jell
1950,12797.20603,0,581.0018547,581.0018547,216.0046788,4041.222956,673.5371593,0,0,0,1510.604822,65.97915031,0,108.0023394,0,0,0,4648.014838,1347.074318,0,2694.148637,0,0,3232.978365
1951,19103.01207,0,808.7420232,777.6365607,289.1094652,6032.530159,1005.421688,0,0,0,2021.855057,92.59553691,1.843407538,216.8320989,12.63290549,793.3333333,0,7465.310983,2011.096034,0,4021.686752,0,0,5148.074865
1952,24823.57911,0,995.671688,1033.966753,427.1197999,7839.721611,1306.504164,0,0,0.151440647,2604.064414,104.5989789,0,249.1532166,30.28812933,1641.666667,0,9190.815582,2613.008328,0,5226.016655,8.208333333,0,7107.382651
1953,26195.31069,0,1181.597763,1139.397843,411.8381515,8272.43738,1378.700563,0,0,0,2911.794488,102.4205271,0,274.5587678,106.0583619,2275,0,7722.585379,2757.401125,0,5515.525375,0,0,7952.690239
1954,33350.63763,0,1855.233974,1727.286804,475.6815708,10525.7587,1750.479436,0,0,0,3838.415118,158.812613,0,267.5708836,167.7476185,3605.933333,0,5583.847263,3512.399913,0,7024.799826,0,0,10670.44975
1955,37974.82618,0,2296.826186,1320.675056,800.5437049,11995.18506,2001.182809,0,0,0,4134.287134,202.7291188,0,426.9566426,261.1095573,4482.208333,0,10507.97981,4006.004619,0,7992.819435,0,0,12791.68757
1956,47187.75081,0,1515.910632,1347.476118,939.3079284,14901.39498,2483.565831,0,0,0,3873.993838,230.0091555,0,730.5728333,198.3724165,9245.6,0,15153.02404,4967.131663,0,9941.58213,0,0,16689.56239
1957,46981.22099,0,972.1061357,1098.902588,392.8361955,14834.31816,2472.386362,0,0.848777155,0.412464226,3000.849376,221.8207703,0,1433.852114,245.2022894,7007.000962,0,17360.32855,4944.772722,0,9889.545445,0,0,17405.59999
1958,49935.31601,1.715845143,532.107708,1306.082556,337.204822,15769.04717,2628.174527,0,0,0,4934.089656,198.6971912,0,989.1341446,23.07610225,10480.13437,0,17001.73323,5256.464434,0,10565.09878,0,0,19354.81088
1959,54394.79929,0,581.9361752,1342.929635,540.8801003,17160.68057,2859.959396,0,0,0,3312.559767,255.3359893,0,1081.760201,207.9433978,11114.15477,0,22992.39022,5719.91879,0,11439.83759,0,0,21964.48815
1960,56614.74191,0,512.8003881,1743.52132,428.9597096,17863.65995,2976.831893,0,0,0,4717.76357,203.5689997,0,691.1017546,308.9953288,10987.1874,0,23285.30466,5953.663785,0,11914.06963,1.544976644,0,23814.65515
1961,59334.38793,0,113.4107189,1134.107189,263.5237489,18713.94046,3118.990078,0,0,0,2910.875119,236.041971,0,614.8887476,86.45680811,14715.29741,0,33857.02733,6237.980152,0,12475.96031,0,0,25955.60632
1962,65648.17976,0,555.7945649,913.091071,258.291401,20731.00414,3463.193766,1.626484213,0,0,3771.463119,316.645371,0,1236.108847,69.99776857,17423.3093,0,28035.37948,6910.520812,0,13820.66942,0,0,29852.64594
1963,67166.35212,0,107.1609377,785.8468765,149.4009684,21210.42698,3537.686618,0,0,0,4536.479697,409.3111015,0,348.6022596,88.39290849,18443.23744,0,47558.84144,7070.142328,0,14142.38399,6.165405367,0,31674.23764
1964,71502.30138,0,375.7804477,683.2371775,238.1378376,22580.73676,3763.279021,0,11.37027798,1.912757043,3518.671464,470.5427949,0,1031.93063,212.5285604,21449.47723,2274.055596,35055.93001,7526.55804,0,15054.60379,0,0,34923.22931
1965,77887.57799,0,424.2989068,810.0251859,412.2899194,24596.07725,4099.346209,0,0,1.474777358,5207.304766,608.8185027,0,179.2564866,196.6369811,21011.31305,1007.764528,32755.81654,8198.938216,0,16397.38483,8.787215094,0,39357.04186
1966,81875.03659,0,497.2328766,994.4657532,391.0522753,25855.27471,4309.212452,4.357644696,0,2.335433989,4589.841938,819.0864403,0,408.8273787,344.1692195,20309.99379,1817.393641,34939.60977,8618.424904,1.179802799,17236.84982,0,0,42745.3635
1967,86280.33322,0,750.868345,1722.580321,472.1047422,27232.72502,4538.787504,0,0,0,7287.839818,1214.719804,0,800.5254326,341.5709306,18823.78387,2035.552094,22338.59091,9077.575009,1.707854653,18155.15002,0,0,46583.90659
1968,89770.36479,0,1029.668266,1313.714686,363.009227,28947.49263,4824.108389,1.596075977,0,0,7030.148859,1191.999379,0,742.5188733,307.9167106,20938.18848,2966.756599,33424.61536,9648.216776,0,19296.43355,0,0,51354.18589
1969,91970.47652,0,939.1603619,1067.227684,654.6763704,29654.03215,4942.338692,0.957463147,0,0,8580.51058,1110.724061,0,1249.836707,320.7775952,20295.44741,3924.017924,29347.23712,9884.677382,0,19769.35477,0,0,54312.47048
1970,85443.76027,0,470.174471,857.3769765,359.8850509,34614.17149,6629.687965,1.770427285,0.486890351,0,5973.981514,918.2648938,0,899.7126272,253.1829827,23498.31063,998.0101401,23051.60048,12343.33036,0,20216.01985,13.71675535,0,41251.31358
1971,96290.60519,0,358.0958588,2148.575152,644.8618102,32231.21927,7632.242799,2.994579658,0,2.73860343,8325.728718,1377.820596,2.919715166,104.0099693,547.7206859,17870.50004,2243.543328,19689.30946,16427.76223,0,17279.40611,0,0.009635934,62120.21395
1972,108944.9813,0,526.5920967,2713.974653,188.2463816,32821.16766,4506.15048,0,1.461867685,0,8425.473547,1123.35496,0,451.7913156,553.3221128,17646.65279,1788.472729,26332.2665,10509.8972,15.56382794,19829.82872,0,0,66131.73403
1973,131925.5831,0,547.6174107,2665.071399,305.3895316,32233.41231,7456.460136,0,0.241084006,0,7666.643749,754.0122633,0,780.4399141,358.8904217,19236.61217,1703.050225,26240.29357,6.577948729,11.85212363,4.22977997,0,0,69256.84338
1974,138042.5745,0,817.5313209,3155.942318,560.8651943,47149.44345,0,6.967612411,0,0.888640437,10102.38475,863.3908104,0,967.7588658,591.2263593,23720.30738,2998.598554,22885.43749,6.229932544,0,10.01233281,0,0,89872.2593
1975,128259.3622,0,1312.620229,2191.142191,1723.854298,37106.58393,0,2.193577622,0,0,9964.039495,1683.426267,0,519.2356314,388.131993,46727.40966,6760.085528,30980.10087,4.304416122,5.963011959,4.655680841,0,0,118773.5731
1976,118548.3019,2.166059764,985.7409342,1636.678958,149.1789042,33730.47726,6.350775013,3.726586383,0,0,11371.93597,1492.862693,0,609.5400992,696.8753757,56105.23779,4579.182132,35925.0618,9753.536937,0,31421.47562,0,0,133501.8434
1977,108381.6762,0,724.9351682,1584.117589,367.0946069,25118.13966,0,29448.26876,1.027831531,1.103802748,9898.108358,1397.032125,0,921.8957174,709.1566007,53906.24737,3667.74355,17576.84459,11120.8802,0,47317.77446,0,0,122674.6028
1978,115286.4284,0,550.3016315,935.7233865,261.1918486,27930.92406,7112.455704,42937.23242,9265.771333,0,6127.935116,1866.381274,2.286996924,741.4884226,497.8733826,6989.433826,2382.521818,16143.60251,18445.54975,3630.821276,58189.45371,0,0,112170.213
1979,142875.6458,0,587.3239478,975.9942074,104.372463,28432.60257,12229.365,6352.497816,14810.64763,0,6895.205437,1842.085003,1.5343196,406.8521857,615.4431265,1483.015028,1541.677628,25512.69344,30893.77404,3733.907492,33619.30302,20.74745312,0,120905.0614
1980,145513.9184,0,563.9315441,1039.076156,63.63621497,30567.38169,12725.64544,15286.67605,15137.91549,0,7927.865876,1977.526368,0,330.9228003,523.9181645,5665.834045,2293.027804,28918.49304,28142.44415,5183.902297,47138.36392,0,0,123161.8382
1981,180988.4376,0,311.548854,1217.731651,275.3102348,30797.40993,13581.80228,21874.95235,16393.42742,0,6788.608126,1523.17097,1.724455996,806.6290709,595.0195004,4765.175055,4402.507281,39005.55049,10863.86375,1331.921554,59883.85502,0,0,129220.2418
1982,199452.0511,1.183893427,1209.714155,1452.036108,481.5083831,25159.48796,13111.64065,36573.95821,24342.7629,0,7584.329594,2103.574749,0,1135.951374,738.6289091,19854.5678,3566.865827,47196.72033,21421.28536,5383.743765,68628.25366,0,0,164003.7112
1983,170595.0734,0,982.1510622,1368.347458,419.3941279,15257.83661,12942.3768,18070.81082,20839.44816,0,7588.108627,2174.62795,3.831467785,2647.831238,860.8251057,74412.44876,3745.896069,30155.52255,24282.26514,10723.77544,76371.40973,1.556257188,0,177292.1105
1984,180616.3963,0,1082.353164,1165.967012,101.0962107,18645.63862,9001.791909,41773.53747,25393.82814,0,6924.085844,920.9570627,2.335793184,955.7994307,752.8047884,71396.01278,2848.820374,71464.88179,24732.37557,11994.03489,86261.19775,0,0,179499.5522
1985,178074.761,0.448337483,1587.156461,757.8290952,204.7717612,13024.51888,15286.09875,20949.99513,33295.41512,0,6373.597666,1426.080076,0.932264321,244.3630493,582.2192664,95588.64636,3821.698559,42793.82835,26497.24563,42229.26829,104353.8521,5.837203151,0,207980.1606
1986,174381.8138,1.139556654,2538.957625,739.0831272,126.4497817,8644.734997,9930.001384,50120.5885,35789.82437,0.98626568,6262.66492,1685.616344,0,492.9058939,620.2810064,136850.7855,5372.336831,29692.3439,25254.87913,69765.51315,87839.59198,2.151164536,0,250812.308
1987,168117.8253,1.432190643,2150.229414,1369.157601,139.599638,9033.561673,10561.67669,37040.82379,47816.72387,0,9896.184213,402.8165996,0,488.8764024,784.7739423,175524.764,6984.42717,58005.6696,31453.18593,56610.80891,85117.77351,56884.59114,0,298144.2193
1988,155413.6423,0,3675.458906,1145.230881,92.15155364,10254.1192,13583.31841,17770.92857,36371.70047,0,7656.72748,828.3613561,0.657182819,347.3639479,860.6387789,208393.6335,6602.512342,65424.65651,41614.95055,78891.30728,108075.1162,56217.04746,0,386656.0553
1989,177021.8705,0,4735.288173,1790.859595,496.4672901,9971.328008,8613.639748,44810.92365,36318.67426,0,9642.061034,893.6821595,0,535.9552825,896.2859082,118004.6137,6785.997683,108025.0353,29037.68196,37855.76076,111599.4277,73667.62367,0,412744.3063
