year,N_dvc,H_dvc,HpV_dvc,HpV_dvc_se,N_dbt,H_dbt,RH_dbt,RN_dbt,N_dbt_gam,N_dbt_gamse,H_ZN_tw,H_ZN_c,RH_ZN_tw,N_ZN_tw,N_ZN_c,RN_ZN_tw
1985,12,5292,441,0,12,5292,1,1,12,0,,,1,,,1
1986,23,20133.9,875.3869565,0,NA,NA,NA,NA,18.56606487,32.55835659,,,,,,NA
1987,58,42691.325,736.0573276,0,50,NA,NA,0.862068966,50,0,,,,,,0.862068966
1988,80,57535.9749,719.1996863,0,65,28665,0.498210034,0.8125,65,0,,,0.498210034,,,0.8125
1989,114,73738.5445,646.8293377,0,NA,NA,NA,NA,122.879294,24.67260848,,,,,,NA
1990,175,110306.1811,630.3210349,0,120,NA,NA,0.685714286,120,0,,,,,,0.685714286
1991,258,132049,511.8178295,0,NA,NA,NA,NA,194.0557336,24.2254567,,,,,,NA
1992,432,308725,714.6412037,0,241,221907.35,0.71878646,0.55787037,241,0,,,0.71878646,,,0.55787037
1993,828,353024,426.3574879,0,NA,NA,NA,NA,267.489748,26.96790479,,,,,,NA
1994,914,474244,518.8665208,0,NA,NA,NA,NA,305.2500817,28.91504454,,,,,,NA
1995,1250,618131,494.5048,0,NA,NA,NA,NA,343.7834023,30.95773163,,,,,,NA
1996,1325,689279,520.210566,0,NA,NA,NA,NA,383.1462591,32.94231079,,,,,,NA
1997,1261,951846,754.8342585,0,500,NA,NA,0.396510706,500,0,,,,,,0.396510706
1998,1189,689916,580.2489487,0,NA,NA,NA,NA,464.5763206,36.32249551,,,,,,NA
1999,1484,518251,349.2257412,0,NA,NA,NA,NA,506.693882,37.60403052,,,,,,NA
2000,1582,991170,626.5297092,0,NA,NA,NA,NA,549.7416927,38.58606449,,,,,,NA
2001,1711,935112,546.5295149,0,NA,NA,NA,NA,593.7135604,39.26701324,,,,,,NA
2002,1873,981491,524.0208222,0,NA,NA,NA,NA,638.6032923,39.65643014,,,,,,NA
2003,1997,1019185,468.0591635,10.7738364,NA,NA,NA,NA,684.4046962,39.77435798,153676,247712,0.620381734,240,413,0.581113801
2004,1996,1064103,488.9325202,11.25430158,NA,NA,NA,NA,731.1115793,39.65181878,153078,257490,0.594500757,241,428,0.563084112
2005,2122,1079741,466.6593876,10.74161621,NA,NA,NA,NA,778.7177493,39.33223278,154837,256583,0.603457751,243,428,0.567757009
2006,1599,875322,502.047922,11.55619331,NA,NA,NA,NA,827.2170136,38.87359406,148507,214991,0.690759148,240,373,0.643431635
2007,1496,853030,522.9479984,12.03727354,786,NA,NA,0.562856135,786,0,148507,210173,0.706594092,240,327,0.733944954
2008,1462,784403,492.0595522,11.32627994,NA,NA,NA,NA,926.8577431,37.86305031,177764,206241,0.861923672,244,329,0.741641337
2009,1405,794359,518.5209283,11.93537076,NA,NA,NA,NA,977.9129512,37.53734143,197855,221760,0.892203283,218,307,0.71009772
2010,1496,858307,526.1830507,12.11173832,NA,NA,NA,NA,1029.68874,37.5087774,173350,235826,0.735075861,191,333,0.573573574
2011,1587,921300,532.4145775,12.25517627,NA,NA,NA,NA,1082.105044,37.90230186,173350,239675,0.723271096,191,337,0.566765579
2012,1793,1111754,568.6619957,13.08952326,NA,NA,NA,NA,1135.0818,38.8177131,144100,242110,0.595184007,195,337,0.578635015
2013,2159,1583513,672.6587322,15.48333138,NA,NA,NA,NA,1188.538942,40.31625256,136968,253705,0.53987111,181,348,0.520114943
2014,2460,2025562,755.1552177,17.3822444,NA,NA,NA,NA,1242.396407,42.41437413,130776,258619,0.505670504,161,339,0.474926254
2015,2512,2156612,787.3687535,18.12373905,NA,NA,NA,NA,1296.57413,45.08696752,144146,252139,0.571692598,171,328,0.521341463
2016,2571,2404162,857.6052785,19.74045097,NA,NA,NA,NA,1350.992047,48.27769849,131716,255417,0.515690028,151,326,0.463190184
2017,2491,2551789,939.5000924,21.62551465,NA,NA,NA,NA,1405.570092,51.9116224,137463,254975,0.539123443,160,321,0.498442368
2018,2654,2740326,946.9501266,21.79700034,1500,NA,NA,0.605475803,1500,0,117033,236329,0.495212183,148,304,0.486842105
