"","year","L_largehead","L_conger","L_ambj","L_halibut","L_cod","M_largeyc","M_smallyc","M_filefish","M_pomfret","M_porgie","SM_flound","SM_flatfish","S_bream","S_sandeel","I_cucumb","I_mollus","I_shell","Ce_squid","Ce_cuttl","Sr_srshim","Sr_apshrim","Cr_gcrab","Cr_bcrab","J_jell"
"1",1950,0.497512437811723,NA,0.994029850746592,0.994029850746592,0.99402985074982,0.994029850745338,0.497512437810945,NA,NA,NA,0.994029850745777,0.99402985074559,NA,0.497512437808642,NA,NA,NA,0.994029850746764,0.993034825868717,NA,0.994029850747552,NA,NA,0.994029850746077
"2",1951,0.497512437810945,NA,0.994029850745268,0.994029850745927,0.994029850745092,0.99402984553882,0.497512437810945,NA,NA,NA,0.994029850743546,0.994029850752233,0,0.497512437810945,0.998999999959313,0.998999999999161,NA,0.994029850746374,0.992910068874724,NA,0.994029850746803,NA,NA,0.993968869285405
"3",1952,0.497512437810945,NA,0.994029850745255,0.994029850745151,0.994029850747093,0.993941522608085,0.497512437810564,NA,NA,0,0.994029850745971,0.99402985074547,NA,0.497512437810945,0.998999999977879,0.998999999999189,NA,0.994029850745705,0.993034825871411,NA,0.99402985074464,0,0,0.994029850745042
"4",1953,0.497512437810945,NA,0.99402985074543,0.994029850746428,0.994029850743935,0.994001732155367,0.497512437811667,NA,NA,NA,0.994029850746162,0.994029850742713,NA,0.497512437812757,0.998999999998699,0.999,NA,0.994029850745154,0.993034825869912,NA,0.993899526256166,NA,NA,0.992608056458948
"5",1954,0.497512437812437,NA,0.994029850745585,0.994029850748009,0.994029850745798,0.994029850747256,0.497512437811229,NA,NA,NA,0.994029850745531,0.994029850752547,NA,0.497512437810945,0.999000000003088,0.998999999999815,NA,0.990799638661329,0.993034825868388,NA,0.994029850745907,NA,NA,0.994029850747908
"6",1955,0.497512437812255,NA,0.994029850746763,0.994029850742657,0.994029850746768,0.994029850746692,0.497512437810945,NA,NA,NA,0.994029850745607,0.994029850747726,NA,0.497512437810945,0.998999999997158,0.998999999999852,NA,0.994029850748899,0.99213276635727,NA,0.994029850746391,NA,NA,0.994029850745027
"7",1956,0.497512437812,NA,0.994029850744122,0.994029850745928,0.994029850747251,0.99402985074441,0.497512437810945,NA,NA,NA,0.994029850745094,0.994029850741895,NA,0.497512437810945,0.999000000002601,0.999,NA,0.994029850745293,0.993034825871829,NA,0.993298064859171,NA,NA,0.994029850746771
"8",1957,0.497450169587549,NA,0.994029850747006,0.994029850746692,0.994029850747583,0.994029850744494,0.497512437810945,NA,0,0,0.99402985074715,0.994029850747641,NA,0.497512437810945,0.998999999997512,0.998999999999995,NA,0.994029850745842,0.993034825869257,NA,0.994029850746506,NA,NA,0.994029850748541
"9",1958,0.497512437810945,0,0.994029850746336,0.994029850744591,0.994029850747791,0.994029850748485,0.497512437810945,NA,NA,NA,0.994029850746203,0.994029850749709,NA,0.497512437810945,0.99900000001092,0.999000000000417,NA,0.993921916647463,0.993013028545805,NA,0.989099671376198,NA,NA,0.993441984979658
"10",1959,0.497004169529732,NA,0.994029850746648,0.994029850745795,0.99402985074687,0.993976317013718,0.497512437810945,NA,NA,NA,0.994029850746936,0.994029850741464,NA,0.497512437810485,0.998999999999029,0.999000000000429,NA,0.994029850746326,0.993034825869043,NA,0.994029850749557,NA,NA,0.994029850744121
"11",1960,0.497029678180322,NA,0.994029850748312,0.994029850747126,0.99402985074416,0.993881355750472,0.497512437810945,NA,NA,NA,0.994029850745142,0.994029850749744,NA,0.497512437811665,0.99900000000268,0.998999999999763,NA,0.994029850745597,0.993034825870637,NA,0.993467337978056,0,0,0.994029850749009
"12",1961,0.496895506909039,NA,0.994029850754323,0.994029850744682,0.994029850742168,0.994029850746144,0.49751243781254,NA,NA,NA,0.994029850744533,0.994029850750467,NA,0.497512437810945,0.999000000001249,0.998999999999824,NA,0.993982256870565,0.993034825869683,NA,0.994029850746675,NA,NA,0.993815045536554
