Sci_name,TL
Acanthopagrus schlegelii,4.54
Acetes japonicus,2.93
Ammodytes,3.10
Apostichopus japonicus,2.57
Arca,2.00
Arctoscopus japonicus,2.87
Ariidae,3.69
Atrobucca nibe,3.56
Berycidae,3.81
Bivalvia,2.00
Brachyura,2.60
Cephalopoda,2.97
Chanos chanos,2.40
Charybdis,2.67
Chelidonichthys kumu,3.31
Chionoecetes,3.54
Chirocentrus dorab,3.40
Conger myriaster,3.62
Decapoda,2.50
Echinoidea,2.40
Epinephelus,3.90
Fenneropenaeus chinensis,2.55
Gadiformes,3.75
Gadus macrocephalus,4.38
Gastropoda,2.20
Gobiidae,3.47
Haliotidae,2.00
Holothuroidea,2.57
Larimichthys crocea,3.16
Larimichthys polyactis,3.65
Lates calcarifer,3.97
Liza haematocheila,2.95
Loliginidae,2.72
Lutjanidae,4.10
Marine fishes not identified,2.95
Marsupenaeus japonicus,3.19
Menidae,3.50
Meretrix lusoria,2.70
Metapenaeus,2.44
Metapenaeus joyneri,1.64
Miichthys miiuy,3.70
Miscellaneous aquatic invertebrates,2.47
Miscellaneous marine crustaceans,2.50
Mizuhopecten yessoensis,2.33
Mollusca,2.55
Monacanthidae,3.35
Mugil cephalus,3.41
Mullidae,3.44
Muraenesox cinereus,3.86
Mytilidae,2.11
Mytilus coruscus,1.64
Nemipterus,2.50
Nemipterus virgatus,2.50
Nibea mitsukurii,3.48
Octopoda,3.10
Pagrus auratus,3.60
Pampus,2.92
Pampus argenteus,2.95
Panulirus longipes,3.33
Paralichthys olivaceus,3.43
Parastromateus niger,2.90
Penaeus monodon,2.67
Penaeus penicillatus,2.53
Pennahia argentata,3.32
Perciformes,3.04
Platycephalus indicus,2.80
Pleuronectiformes,3.73
Portunus pelagicus,2.79
Portunus trituberculatus,3.29
Priacanthus macracanthus,3.07
Psenopsis anomala,3.15
Pseudopleuronectes herzensteini,2.54
Ruditapes philippinarum,2.25
Ruvettus pretiosus,3.38
Saurida tumbil,3.30
Saurida undosquamis,3.81
Scaridae,2.09
Sciaenidae,3.50
Scylla serrata,3.17
Scyllaridae,2.74
Scyphozoa,2.90
Sepiida,2.86
Seriola,2.94
Serranidae,3.92
Sillago,3.42
Sparidae,3.79
Sphyraenidae,3.90
Squillidae,2.78
Stephanolepis cirrhifer,2.67
Tetraodontidae,3.50
Teuthida,2.74
Todarodes pacificus,2.97
Trachysalambria curvirostris,2.33
Trichiurus lepturus,3.74
Turbo cornutus,2.00
