Year,China,West Africa,Middle and South Asia,Franklin Islands,Northern Pacific,Southeast Asia,East Asia
1950,43719.00928,0,0,0,0,0,1268
1951,66264.3915,0,0,0,0,0,1852
1952,86899.24395,0,0,0,0,0,2312
1953,91836.16991,0,0,0,0,0,2424
1954,113866.929,0,0,0,0,0,2896
1955,133261.4975,0,0,0,0,0,3132
1956,170201.9047,0,0,0,0,0,3592
1957,168649.2188,0,0,0,0,607.6249955,8106.156049
1958,182913.1665,0,0,0,0,1393.556306,14170.51446
1959,200538.8337,0,0,0,0,2275.600297,20856.91038
1960,216428.5567,0,0,0,0,3077.08524,26715.07432
1961,235087.2832,0,0,0,0,3923.65408,33490.8953
1962,255399.9866,0,0,0,0,4989.527098,41939.90539
1963,275959.8798,0,0,0,0,5846.360745,48401.88135
1964,288583.9944,0,0,0,0,6735.838706,55528.3139
1965,311946.2998,0,0,0,0,7910.958865,64097.8679
1966,326075.4425,0,0,0,0,8774.453103,70172.89686
1967,338366.0391,0,0,0,0,9619.944726,75881.31886
1968,368092.3487,0,0,0,0,10904.20505,86148.11451
1969,374584.9824,0,0,0,0,11794.24035,92383.24393
1970,342522.6602,0,0,0,0,11971.39021,90088.35175
1971,401940.3854,0,0,0,0,12752.44255,100260.1962
1972,413221.7312,0,0,0,0,24198.50935,179829.1773
1973,464522.9511,0,0,0,0,23831.86676,201661.4677
1974,536247.7761,0,0,0,0,29571.81522,251175.5623
1975,609004.6322,0,0,0,0,22523.28664,218415.9713
1976,643280.9383,0,0,0,0,31238.17876,277033.5266
1977,635932.8614,0,0,0,0,0,294253.6361
1978,633685.1248,0,0,0,0,0,203830.0065
1979,598251.0987,0,0,0,0,0,132160.6756
1980,644051.901,0,0,0,0,0,184417.6889
1981,702556.0141,0,0,0,0,0,150100.7197
1982,864970.152,0,0,0,0,0,100779.852
1983,885221.692,0,0,0,0,0,113745.2414
1984,992589.0077,0,0,0,0,0,125744.0789
1985,1077973.079,90158.56733,0,0,28127.13976,87838.52592,73808.50068
1986,1219443.107,116983.8138,16329.24704,0,91462.94567,81952.416,199830.5369
1987,1376551.088,146090.8902,36610.58602,0,127318.431,78357.39358,260168.573
1988,1579579.006,180214.5137,56445.52413,0,124854.2791,74849.07229,231901.4357
1989,1632693.298,213410.3983,73590.33541,0,270601.8103,68768.85311,465226.6641
1990,1874318.317,245901.9912,88053.40484,0,260934.609,56925.63651,483898.4165
1991,2047007.91,252764.0126,89134.27667,0,392185.0125,40494.66395,574199.1878
1992,2387032.603,276355.7739,73335.7036,0,442805.0711,36291.09879,566814.1434
1993,2553286.114,291015.5301,67097.93792,0,633949.2887,28800.717,848527.2303
1994,3157491.187,305174.0123,72011.65627,0,588151.5282,27993.55696,908847.0537
1995,3621302.134,325990.9766,57192.10495,0,785182.3112,26883.88938,1152714.145
1996,4178029.456,341677.5719,53546.83844,0,1057916.067,382403.2329,530068.904
1997,4069100.893,347497.2879,50760.19392,0,1033148.706,289936.623,278077.8086
1998,4231507.668,363661.695,52789.13331,78.54144695,819818.6993,107477.1507,1009483.966
1999,3601437.56,387004.6021,58427.53362,368.1862367,918595.889,144650.1268,1439871.04
2000,3436701.27,413033.6798,52830.37399,457.9107918,860295.695,163163.4823,1375496.51
2001,3710121.978,463360.493,48721.93832,648.0807263,689258.7557,24491.99758,1202314.877
2002,3592946.2,494563.3919,40774.46442,40.55449258,638910.9653,40231.47176,1181771.202
2003,3281862.131,496189.8001,40096.72775,218.3670946,454266.3845,506272.3695,973657.81
2004,3374904.256,499878.3561,38205.32905,3.568402574,510749.7396,33147.38048,1429682.783
2005,3288846.512,639167.1466,35823.57419,2.22272899,529067.8714,13986.0423,1442600.115
2006,3341086.271,655936.0132,33202.77202,176.1099717,505147.863,14958.82476,1528384.612
2007,3166621.955,719743.7457,31705.56479,225.962766,476674.6128,14602.42838,1504002.469
2008,3165127.145,676663.2366,31705.56479,0,454411.4363,12915.75678,1555057.227
2009,3353402.029,694077.0108,28535.00832,0,410509.8094,588612.5553,1023830.111
2010,3347646.406,716691.6177,25364.45184,0,437939.4724,607630.2069,1072506.424
2011,3429331.678,751539.2725,24144.39167,0,515499.7864,17693.84514,1704583.957
2012,3424334.831,618876.2269,24144.39167,0,501013.541,17348.65203,1685708.885
2013,3406595.126,888941.3335,24144.39167,0,497645.2782,17596.29378,1731824.161
2014,4043238.025,843559.5787,24144.39167,0,816124.6937,15226.57334,2418670.506
