year,N_bt,N_bt_se,N_c,N_c_se,N_of,N_of_se,H_bt,H_bt_se,H_dobt,H_dobt_se,H_c,H_c_se,H_of,H_of_se,RN_bt,RN_bt_se,RH_bt,RH_bt_se,N_dvc,N_dvc_se,N_dbt,N_dbt_se,N_dof,N_dof_se,N_dobt,N_dobt_se,H_dvc,H_dvc_se,H_dbt,H_dbt_se,H_dof,H_dof_se,RN_dbt,RN_dbt_se,RH_dbt,RH_dbt_se,C_bt,C_bt_se,V_bt,V_bt_se,C_of,C_of_se,V_of,V_of_se,C_bt_eez,C_bt_eez_se,V_bt_eez,V_bt_eez_se,C_bt_byeez,C_bt_byeez_se,V_bt_byeez,V_bt_byeez_se,C_bt_dom,C_bt_dom_se,V_bt_dom,V_bt_dom_se,C_bt_bydom,C_bt_bydom_se,V_bt_bydom,V_bt_bydom_se,all_c,all_c_se,all_v,all_v_se,RC_bt_all,RC_bt_all_se,RV_bt_all,RV_bt_all_se,RC_bt_eez,RC_bt_eez_se,RV_bt_eez,RV_bt_eez_se,RC_bt_dom,RC_bt_dom_se,RV_bt_dom,RV_bt_dom_se,HpV_bt,HpV_bt_se,HpV_of,HpV_of_se,HpV_dbt,HpV_dbt_se,HpV_dobt,HpV_dobt_se,HpV_c,HpV_c_se,HpV_dc,HpV_dc_se,HpV_dof,HpV_dof_se,RHpV_bt_of,RHpV_bt_of_se,RHpV_dbt_dobt,RHpV_dbt_dobt_se,RHpV_dbt_dof,RHpV_dbt_dof_se,CpH_bt,CpH_bt_se,CpH_of,CpH_of_se,CpH_dobt,CpH_dobt_se,CpH_dbt,CpH_dbt_se,RCpH_dbt_dobt,RCpH_dbt_dobt_se,RCpH_bt_of,RCpH_bt_of_se,VpH_dobt,VpH_dobt_se,VpH_bt,VpH_bt_se,VpH_dbt,VpH_dbt_se,VpH_of,VpH_of_se,RVpH_bt_of,RVpH_bt_of_se,RVpH_dbt_dobt,RVpH_dbt_dobt_se,VpC_bt,VpC_bt_se,VpC_of,VpC_of_se,VpC_bt_eez,VpC_bt_eez_se,VpC_bt_byeez,VpC_bt_byeez_se,VpC_bt_dom,VpC_bt_dom_se,VpC_bt_bydom,VpC_bt_bydom_se,RVpC_bt_of,RVpC_bt_of_se,RVpC_eez_by,RVpC_eez_by_se,RVpC_dom_by,RVpC_dom_by_se
1950,183,29,183,29,0,0,11822.37075,1904.131769,11822.37075,1904.131769,11822.37075,1904.131769,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,44987.00928,0,75795079.87,0,898293.3114,0,1547932647,0,43719.00928,0,75266323.87,0,1268,0,528756,0,44987.00928,0,75795079.87,0,0,0,0,0,943280.3207,0,1623727727,0,4.769208929,0,4.667967333,0,97.18140854,0,99.30238744,0,100,0,100,0,64.60311885,14.59710468,0,0,,,64.60311885,14.59710468,64.60311885,14.59710468,,,,,,,,,,,3.805244331,0.612879326,,,3.805244331,0.612879326,,,,,,,6411.157413,1032.592258,6411.157413,1032.592258,,,,,,,,,1684.821487,0,1723.19289,0,1721.592623,0,417,0,1684.821487,0,0,0,0.977732381,0,4.12851948,0,,0
1951,211,1,211,1,0,0,13664.0466,106.7634132,13664.0466,106.7634132,13664.0466,106.7634132,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,68116.3915,0,115851478.9,0,1180443.352,0,1868131863,0,66264.3915,0,115044006.9,0,1852,0,807472,0,68116.3915,0,115851478.9,0,0,0,0,0,1248559.743,0,1983983342,0,5.45559729,0,5.839337279,0,97.28112432,0,99.30301106,0,100,0,100,0,64.75851469,0.591792877,0,0,,,64.75851469,0.591792877,64.75851469,0.591792877,,,,,,,,,,,4.985081908,0.038950713,,,4.985081908,0.038950713,,,,,,,8478.562924,66.24686986,8478.562924,66.24686986,,,,,,,,,1700.787084,0,1582.56799,0,1736.136171,0,436,0,1700.787084,0,0,0,1.0747008,0,3.981963694,0,,0
1952,264,1,264,1,0,0,15877.97545,106.7634132,15877.97545,106.7634132,15877.97545,106.7634132,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,89211.24395,0,123714095.7,0,1411035.387,0,1660676224,0,86899.24395,0,122803167.7,0,2312,0,910928,0,89211.24395,0,123714095.7,0,0,0,0,0,1500246.631,0,1784390320,0,5.946438546,0,6.933129726,0,97.40839843,0,99.26368293,0,100,0,100,0,60.1438464,0.464161366,0,0,,,60.1438464,0.464161366,60.1438464,0.464161366,,,,,,,,,,,5.618552833,0.037779116,,,5.618552833,0.037779116,,,,,,,7791.553532,52.39035996,7791.553532,52.39035996,,,,,,,,,1386.754519,0,1176.920323,0,1413.167274,0,394,0,1386.754519,0,0,0,1.17829091,0,3.58671897,0,,0
1953,265,1,267,1,2,0,15592.6203,106.7634132,15592.6203,106.7634132,15710.14342,106.7634132,117.5231128,0,99.5,0.65,99.3,1,,,,,,,,,,,,,,,,,,,94260.16991,0,145665812,0,1417493.343,0,1803477650,0,91836.16991,0,144516836,0,2424,0,1148976,0,94260.16991,0,145665812,0,0,0,0,0,1511753.513,0,1949143462,0,6.23515468,0,7.473324301,0,97.4283942,0,99.21122466,0,100,0,100,0,58.8400766,0.460015029,58.7615564,0,,,58.8400766,0.460015029,58.83948846,0.456568161,,,,,1.001336251,0.500729326,,,,,6.045178302,0.041391624,12061.4006,0,6.045178302,0.041391624,,,,,0.0005012,3.43E-06,9341.971343,63.96492234,9341.971343,63.96492234,,,15345727.38,0,0.000608767,4.17E-06,,,1545.359107,0,1272.300614,0,1573.637447,0,474,0,1545.359107,0,0,0,1.214617906,0,3.319910227,0,,0
1954,290,2,321,5,31,6,17234.86827,106.7634132,17234.86827,106.7634132,26139.58609,628.5035387,8904.717822,637.5069604,90.4,1.57,65.9,1.6,,,,,,,,,,,,,,,,,,,116762.929,0,327119934.6,0,1674207.219,0,3174564785,0,113866.929,0,325799358.6,0,2896,0,1320576,0,116762.929,0,327119934.6,0,0,0,0,0,1790970.148,0,3501684720,0,6.519535188,0,9.34178719,0,97.51976075,0,99.59630219,0,100,0,100,0,59.43058024,0.550930484,287.248962,59.2780526,,,59.43058024,0.550930484,81.43173237,2.332904631,,,,,0.206895718,0.042739034,,,,,6.774808323,0.041967345,188.0135062,13.46027142,6.774808323,0.041967345,,,,,0.036033626,2.59E-03,18980.12387,117.5746037,18980.12387,117.5746037,,,356503.6926,25522.82846,0.053239628,3.83E-03,,,2801.573559,0,1896.160015,0,2861.228993,0,456,0,2801.573559,0,0,0,1.47749849,0,6.274624985,0,,0
1955,339,2,541,9,202,9,21462.78324,106.7634132,21462.78324,106.7634132,35960.34513,835.1341222,14497.56189,841.9307741,62.6,1.06,59.7,1.4,,,,,,,,,,,,,,,,,,,136393.4975,0,382215725.1,0,1822388.29,0,3396643261,0,133261.4975,0,380784401.1,0,3132,0,1431324,0,136393.4975,0,382215725.1,0,0,0,0,0,1958781.787,0,3778858986,0,6.963179789,0,10.11458026,0,97.70370285,0,99.62551933,0,100,0,100,0,63.31204496,0.488573293,71.77010837,5.253299301,,,63.31204496,0.488573293,66.47013887,1.898876854,,,,,0.882150611,0.06492793,,,,,6.354883986,0.031611422,125.7030874,7.300075594,6.354883986,0.031611422,,,,,0.050554717,2.95E-03,17808.30197,88.58474134,17808.30197,88.58474134,,,234290.6543,13606.18519,0.076009442,4.43E-03,,,2802.301665,0,1863.841685,0,2857.422498,0,457,0,2802.301665,0,0,0,1.503508419,0,6.252565642,0,,0
1956,372,2,1064,17,692,17,26462.80712,106.7634132,26462.80712,106.7634132,56363.27366,1263.045046,29900.46654,1267.549295,35,0.58,47,1.1,,,,,,,,,,,,,,,,,,,173793.9047,0,484840680.2,0,2133088.34,0,3992305040,0,170201.9047,0,483357184.2,0,3592,0,1483496,0,173793.9047,0,484840680.2,0,0,0,0,0,2306882.245,0,4477145720,0,7.533713742,0,10.82923609,0,97.93318413,0,99.69402402,0,100,0,100,0,71.13657828,0.478162848,43.20876668,2.117061146,,,71.13657828,0.478162848,52.97300156,1.457905488,,,,,1.646345956,0.08142009,,,,,6.567478042,0.026496296,71.33963402,3.024250564,6.567478042,0.026496296,,,,,0.092059318,3.92E-03,18321.58916,73.91790998,18321.58916,73.91790998,,,133519.8243,5660.211321,0.137219992,5.84E-03,,,2789.74502,0,1871.607924,0,2839.904671,0,413,0,2789.74502,0,0,0,1.490560595,0,6.876282497,0,,0
1957,419,2,1381,21,963,21,31714.21528,106.7634132,31714.21528,106.7634132,73615.05906,1590.094023,41900.84378,1593.674191,30.3,0.49,43.1,0.9,,,,,,,,,,,,,,,,,,,177362.9998,0,507608448.6,0,2010081.559,0,3884238198,0,168649.2188,0,492280832.1,0,8713.781,0,15327616.5,0,177362.9998,0,507608448.6,0,0,0,0,0,2187444.559,0,4391846647,0,8.108228347,0,11.55797298,0,95.08703562,0,96.98042526,0,100,0,100,0,75.69025126,0.442104267,43.5107412,1.907615196,,,75.69025126,0.442104267,53.30561844,1.408114994,,,,,1.739576233,0.076941059,,,,,5.592539441,0.018826844,47.97234083,1.824600045,5.592539441,0.018826844,,,,,0.116578415,4.45E-03,16005.70735,53.88195584,16005.70735,53.88195584,,,92700.71549,3525.817727,0.17266002,6.59E-03,,,2861.974872,0,1932.378406,0,2918.963014,0,1759.00869,0,2861.974872,0,0,0,1.481063369,0,1.659436381,0,,0
1958,519,3,1334,20,815,20,40173.44231,106.7634132,40173.44231,106.7634132,86039.67167,1789.385956,45866.22936,1792.568137,38.9,0.62,46.7,1,,,,,,,,,,,,,,,,,,,198477.2372,0,574918389.6,0,2120297.433,0,4184757555,0,182913.1665,0,541344271.7,0,15564.0707,0,33574117.9,0,198477.2372,0,574918389.6,0,0,0,0,0,2318774.67,0,4759675945,0,8.559574148,0,12.07893975,0,92.15825909,0,94.16019412,0,100,0,100,0,77.40547651,0.492453648,56.27758204,2.597104913,,,77.40547651,0.492453648,64.497505,1.653577565,,,,,1.375422925,0.06407352,,,,,4.940508599,0.013129708,46.22785571,1.806701409,4.940508599,0.013129708,,,,,0.106872978,4.19E-03,14310.90682,38.03212198,14310.90682,38.03212198,,,91238.31659,3565.823951,0.156851938,6.14E-03,,,2896.646475,0,1973.66534,0,2959.569735,0,2157.155319,0,2896.646475,0,0,0,1.467648246,0,1.371978044,0,,0
1959,560,3,2280,34,1720,34,45972.26645,106.7634132,45972.26645,106.7634132,132587.3394,2651.793472,86615.07295,2653.941794,24.6,0.38,34.7,0.7,,,,,,,,,,,,,,,,,,,223671.3444,0,699355771.1,0,2123143.704,0,4589756060,0,200538.8337,0,640598575.7,0,23132.5107,0,58757195.4,0,223671.3444,0,699355771.1,0,0,0,0,0,2346815.048,0,5289111831,0,9.530846693,0,13.22255595,0,89.65781211,0,91.59838271,0,100,0,100,0,82.09333295,0.479331301,50.35760055,1.836224115,,,82.09333295,0.479331301,58.15234184,1.450770051,,,,,1.630207398,0.060200653,,,,,4.865353868,0.011299025,24.5124045,0.75107591,4.865353868,0.011299025,,,,,0.198485378,6.10E-03,15212.55803,35.32879155,15212.55803,35.32879155,,,52990.26952,1623.656093,0.287082103,8.82E-03,,,3126.711528,0,2161.773624,0,3194.386663,0,2540.026725,0,3126.711528,0,0,0,1.446363992,0,1.257619312,0,,0
